Miejsce		Nr startowy	Punkty
   1		      6		 4612
   2		      9		 4612
   3		     30		 4529
   4		      3		 4471
   5		     26		 4442
   6		     11		 4315
   7		     27		 4311
   8		     20		 4297
   9		     28		 4239
  10		     25		 4231
  11		     21		 4216
  12		      7		 4187
  13		     31		 4146
  14		      1		 4134
  15		     24		 4128
  16		     23		 4100
  17		     29		 4063
  18		     10		 4046
  19		     17		 4017
  20		     16		 4007
  21		      8		 3989
  22		     15		 3962
  23		     13		 3909
  24		     18		 3897
  25		     14		 3829
  26		     19		 3809
  27		      2		 3779
  28		      4		 3643
  29		     32		 3382
  30		      5		  DNF
  31		     12		  DNF
  32		     22		  DNF
